Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,0,0,22574,5487,87166,154727,222288,365765,509242,1434772,1829953,2069069,2334000,3286000,4443000,5234000,5717619,7188000,8882000,9299000,13790994,18264761,18418876,19271808,22116825,23722890,24503326,28118794,29015434,27809196,25720665
USA,8005859,7955489,7905119,8094534,8283949,8146895,8009841,8896419,9782997,11985457,13024978,12799857,11424000,12279000,12114000,11989000,11946653,11263000,10780000,8672000,5709000,7743093,8661535,10335765,11066432,11660699,12100095,12198137,11189985,11314705,10880019
Japan,98765,256574,481551,2885354,5289157,8166021,11042884,12264840,13486796,10195536,9895000,10140796,9777000,10257000,10286000,10511000,10799659,11484000,11596000,11575000,7934000,9628920,8398630,9943077,9630181,9774558,9278321,9204590,9693746,9728528,9684298
India,14688,32912,51136,63773,76409,95163,113917,238286,362655,636,818193,"801,36",814611,894796,1161000,1511000,1638674,2019000,2253000,2332000,2641000,3557073,3927411,4174713,3898425,3840160,4160585,4519341,4782896,5174645,4516017
Germany,306064,1181107,2056149,2949198,3842247,3860400,3878553,4427553,4976552,4667364,5687000,5526615,5691000,5469000,5506000,5569000,5757710,5819000,6213000,6045000,5209000,5905985,6146948,5649260,5718222,5907548,6033164,5746808,5645581,5120409,4661328
Mexico,0,24904,49807,121324,192841,341424,490006,655282,820558,935017,1549925,1935527,1841000,1804670,1575000,1577000,1684238,2045000,2095000,2167000,1561000,2342282,2681050,3001814,3054849,3365306,3565469,3600365,4068415,4100525,3986794
SothKorea,0,0,0,1441,28819,75977,123135,722383,1321630,2526400,2843000,3114998,2946000,3147500,3177000,3469000,3699350,3840000,4086000,3826000,3512000,4271741,4657094,4561766,4521429,4524932,4555957,4228509,4114913,4028834,3950617
Brazil,0,66521,133041,274565,416089,790632,1165174,1039820,914466,1629008,1350000,1681517,1817000,1791530,1827000,2317000,2530840,2611000,2977000,3215000,3182000,3381728,3407861,3402508,3712380,3364890,2429463,2156356,2699672,2879809,2944988
Spain,253,29231,58209,298671,539132,860396,1181659,1617505,2053350,2333787,2852000,3032874,2849000,2855000,3029000,3012000,2752500,2777000,2889000,2541000,2170000,2387900,2373329,1979179,2163338,2402978,2733201,2885922,2848335,2819565,2822355
France,357512,863361,1369210,2059648,2750086,3064260,3378433,3573713,3768993,3474705,3180000,3348361,3628000,3601000,3620000,3665000,3549008,3169000,3015000,2568000,2047000,2229421,2242928,1967765,1740000,1817000,1972000,2082000,2227000,2270000,2202460
